pmid,title,authors,journal,pub_date,doi,abstract,article_type
41032720,Cyclophosphamide and Cyclosporin for GVHD Prevention.,"Desai Nihar, Mattsson Jonas, Law Arjun D",The New England journal of medicine,2025 10,10.1056/NEJMc2511563,,Correspondence
41032719,Tarlatamab in Small-Cell Lung Cancer. Reply.,"Rudin Charles M, Mountzios Giannis",The New England journal of medicine,2025 11,10.1056/NEJMc2511884,,Correspondence
41032718,Tarlatamab in Small-Cell Lung Cancer.,"Y&#x131;ld&#x131;z O&#x11f;uzhan, Araz Murat",The New England journal of medicine,2025 11,10.1056/NEJMc2511884,,Correspondence
41032717,Trastuzumab Deruxtecan in Gastric Cancer. Reply.,Shitara Kohei,The New England journal of medicine,2025 11,10.1056/NEJMc2511891,,Correspondence
41032716,Trastuzumab Deruxtecan in Gastric Cancer.,Suto Hirotaka,The New England journal of medicine,2025 11,10.1056/NEJMc2511891,,Correspondence
41032715,Nerandomilast in Patients with Pulmonary Fibrosis. Reply.,"Maher Toby M, Richeldi Luca, Zoz Donald F",The New England journal of medicine,2025 11,10.1056/NEJMc2510302,,Correspondence
41032714,Nerandomilast in Patients with Pulmonary Fibrosis.,"Yuji Koichiro, Yuji Wakako",The New England journal of medicine,2025 11,10.1056/NEJMc2510302,,Correspondence
41032713,Nerandomilast in Patients with Pulmonary Fibrosis.,Singh Sheetu,The New England journal of medicine,2025 11,10.1056/NEJMc2510302,,Correspondence
41025556,Sotatercept for Pulmonary Arterial Hypertension within the First Year after Diagnosis.,"McLaughlin Vallerie V, Hoeper Marius M, Badesch David B, Ghofrani H Ardeschir, Gibbs J Simon R",The New England journal of medicine,2025 10,10.1056/NEJMoa2508170,"Sotatercept, an activin-signaling inhibitor, reduces morbidity and mortality among patients with long-standing pulmonary arterial hypertension. Its effects in patients with pulmonary arterial hypertension within the first year after diagnosis are unclear.",Original Article
41020514,Hypertonic Saline or Carbocisteine in Bronchiectasis.,"Bradley Judy M, O'Neill Brenda, McAuley Daniel F, Chalmers James D, De Soyza Anthony",The New England journal of medicine,2025 10,10.1056/NEJMoa2510095,"Bronchiectasis guidelines are inconsistent with regard to the effectiveness of mucoactive agents, and their use varies geographically. Large trials are needed to assess safety and effectiveness.",Original Article
41002250,Nexiguran Ziclumeran Gene Editing in Hereditary ATTR with Polyneuropathy.,"Gillmore Julian D, Gane Ed, T&#xe4;ubel J&#xf6;rg, Pilebro Bj&#xf6;rn, Echaniz-Laguna Andoni",The New England journal of medicine,2025 10,10.1056/NEJMoa2510209,"Hereditary transthyretin amyloidosis with polyneuropathy (ATTRv-PN) is a rare, multisystem, progressive, debilitating, and fatal disease characterized by tissue deposition of misfolded transthyretin (TTR) in peripheral nerves. Nexiguran ziclumeran (nex-z) is an investigational in vivo therapy based on CRISPR-Cas9 (clustered regularly interspaced short palindromic repeats and associated Cas9 endonuclease) that is designed to reduce serum TTR levels through selective inactivation of TTR in the liv...",Original Article
40991921,Permethrin-Treated Baby Wraps for the Prevention of Malaria.,"Boyce Ross M, Shook-Sa Bonnie E, Ndizeye Ronnie, Baguma Emmanuel, Giandomenico Dana",The New England journal of medicine,2025 10,10.1056/NEJMoa2501628,Malaria remains a major cause of childhood death in sub-Saharan Africa. We leveraged the traditional practice of mothers carrying children on their backs in cloth wraps to assess whether treating the wraps with an insect repellent might provide a layer of protection against malaria.,Correspondence
40991918,Global Effect of Cardiovascular Risk Factors on Lifetime Estimates. Reply.,"Magnussen Christina, Lorenz Thiess, Blankenberg Stefan",The New England journal of medicine,2025 09,10.1056/NEJMc2511206,,Correspondence
40991917,Global Effect of Cardiovascular Risk Factors on Lifetime Estimates.,"Cordero Lucia, Abasheva Daria, Ortiz Alberto",The New England journal of medicine,2025 11,10.1056/NEJMc2511206,,Correspondence
40991916,Global Effect of Cardiovascular Risk Factors on Lifetime Estimates.,"Akbarpour Samaneh, Azizpour Yosra, Larijani Bagher",The New England journal of medicine,2025 11,10.1056/NEJMc2511206,,Correspondence
40991915,Global Effect of Cardiovascular Risk Factors on Lifetime Estimates.,"Zheng Xiaoni, Zhang Jiameng, Li Zhiyong",The New England journal of medicine,2025 11,10.1056/NEJMc2511206,,Correspondence
40991914,Global Effect of Cardiovascular Risk Factors on Lifetime Estimates.,Cooper Kenneth H,The New England journal of medicine,2025 11,10.1056/NEJMc2511206,,Correspondence
40991913,Cerebral Embolic Protection during TAVI. Reply.,"Kharbanda Rajesh K, Kennedy James, Dodd Matthew",The New England journal of medicine,2025 11,10.1056/NEJMc2510558,,Correspondence
40991912,Cerebral Embolic Protection during TAVI.,"Zhao Mengmeng, Ouyang Fan",The New England journal of medicine,2025 11,10.1056/NEJMc2510558,,Correspondence
40991911,Cerebral Embolic Protection during TAVI.,Sharma Gaurav,The New England journal of medicine,2025 11,10.1056/NEJMc2510558,,Correspondence
40991910,Cerebral Embolic Protection during TAVI.,Kapadia Samir R,The New England journal of medicine,2025 11,10.1056/NEJMc2510558,,Correspondence
40991909,Nonoperative Management of Mismatch Repair-Deficient Tumors. Reply.,"Abida Wassim, Diaz Luis A, Cercek Andrea",The New England journal of medicine,2025 09,10.1056/NEJMc2510154,,Correspondence
40991908,Nonoperative Management of Mismatch Repair-Deficient Tumors.,"Jakubowski Christopher D, Verma Amit, Gartrell Benjamin A",The New England journal of medicine,2025 09,10.1056/NEJMc2510154,,Correspondence
40991907,CD19 CAR T-Cell Therapy in Multidrug-Resistant Ulcerative Colitis.,"M&#xfc;ller Fabian, Atreya Raja, V&#xf6;lkl Simon, Aigner Michael, Kretschmann Sascha",The New England journal of medicine,2025 09,10.1056/NEJMc2508023,,Correspondence
40961449,Medical Imaging and Pediatric and Adolescent Hematologic Cancer Risk.,"Smith-Bindman Rebecca, Alber Susan A, Kwan Marilyn L, Pequeno Priscila, Bolch Wesley E",The New England journal of medicine,2025 10,10.1056/NEJMoa2502098,Assessing the risk of radiation-induced hematologic cancer from medical imaging in children and adolescents might support informed decisions on the use of imaging.,Correspondence
40961446,Clesrovimab for Prevention of RSV Disease in Healthy Infants.,"Zar Heather J, Sim&#xf5;es Eric A F, Madhi Shabir A, Ramilo Octavio, Senders Shelly D",The New England journal of medicine,2025 10,10.1056/NEJMoa2502984,Clesrovimab is a long-acting investigational monoclonal antibody against site IV of the respiratory syncytial virus (RSV) fusion protein. Data regarding the safety and efficacy of clesrovimab in healthy infants are needed.,Original Article
40961444,Fetal Hereditary Thrombotic Thrombocytopenic Purpura.,"Arepalli Satya, George James N, Tiwari Nishant R",The New England journal of medicine,2025 09,10.1056/NEJMc2511558,,Correspondence
40961443,Navigating the Discontinuity Crisis in Medical Education. Reply.,"Warm Eric J, Desai Sima S, Bowen Judith L",The New England journal of medicine,2025 09,10.1056/NEJMc2511029,,Correspondence
40961442,Navigating the Discontinuity Crisis in Medical Education.,Rajput Vijay,The New England journal of medicine,2025 09,10.1056/NEJMc2511029,,Correspondence
40961441,Navigating the Discontinuity Crisis in Medical Education.,Eisenson Howard,The New England journal of medicine,2025 09,10.1056/NEJMc2511029,,Correspondence
40961440,Navigating the Discontinuity Crisis in Medical Education.,"Schenkel Stephen, Gingold Daniel B, Spangler Ryan",The New England journal of medicine,2025 09,10.1056/NEJMc2511029,,Correspondence
40961439,Ondansetron after ED Visits in Children with Gastroenteritis. Reply.,"Freedman Stephen B, Klassen Terry P",The New England journal of medicine,2025 09,10.1056/NEJMc2511678,,Correspondence
40961438,Ondansetron after ED Visits in Children with Gastroenteritis.,"Niel Olivier, Caliment Ancuta",The New England journal of medicine,2025 09,10.1056/NEJMc2511678,,Correspondence
40961437,Ondansetron after ED Visits in Children with Gastroenteritis.,Wang Tingxuan,The New England journal of medicine,2025 09,10.1056/NEJMc2511678,,Correspondence
40961436,Ondansetron after ED Visits in Children with Gastroenteritis.,"Zhao Bin, Wang Chenglong, Weng Xiaojian",The New England journal of medicine,2025 09,10.1056/NEJMc2511678,,Correspondence
40961435,Perioperative Pembrolizumab in Head and Neck Cancer. Reply.,"Uppaluri Ravindra, Haddad Robert I, Adkins Douglas",The New England journal of medicine,2025 09,10.1056/NEJMc2510882,,Correspondence
40961434,Perioperative Pembrolizumab in Head and Neck Cancer.,Desai Parth,The New England journal of medicine,2025 09,10.1056/NEJMc2510882,,Correspondence
40961433,Perioperative Pembrolizumab in Head and Neck Cancer.,Suto Hirotaka,The New England journal of medicine,2025 09,10.1056/NEJMc2510882,,Correspondence
40961432,Introduction of Mpox Virus Clade Ib into the Republic of the Congo.,"Koukouikila-Koussounda F&#xe9;lix, Yinda Claude Kwe, Mayengue Pembe I, Elenga Reiche G, Boussam Dachel A E",The New England journal of medicine,2025 09,10.1056/NEJMc2504089,,Correspondence
40961426,Low-Dose Aspirin for PI3K-Altered Localized Colorectal Cancer.,"Martling Anna, Hed Myrberg Ida, Nilbert Mef, Gr&#xf6;nberg Henrik, Granath Fredrik",The New England journal of medicine,2025 09,10.1056/NEJMoa2504650,"Aspirin reduces the incidence of colorectal adenoma and colorectal cancer among high-risk persons. Observational studies suggest that aspirin may also improve disease-free survival after diagnosis, particularly among patients with tumors harboring somatic PIK3CA mutations. However, data from randomized trials are lacking.",Correspondence
40961423,Clesrovimab in Infants and Children at Increased Risk for Severe RSV Disease.,"Zar Heather J, Bont Louis J, Manzoni Paolo, Mu&#xf1;oz Flor M, Ramilo Octavio",The New England journal of medicine,2025 10,10.1056/NEJMc2506107,,Correspondence
40961420,In Vivo CD19 CAR T-Cell Therapy for Refractory Systemic Lupus Erythematosus.,"Wang Qian, Xiao Ze Xiu, Zheng Xu, Wang Guihong, Yang Linlin",The New England journal of medicine,2025 10,10.1056/NEJMc2509522,,Correspondence
40960253,A Randomized Trial of Shunting for Idiopathic Normal-Pressure Hydrocephalus.,"Luciano Mark G, Williams Michael A, Hamilton Mark G, Katzen Heather L, Dasher Nickolas A",The New England journal of medicine,2025 12,10.1056/NEJMoa2503109,"Idiopathic normal-pressure hydrocephalus is a neurologic disorder characterized by impaired gait, balance, cognition, and bladder control in older adults. The disorder is treated with shunt surgery, but the effectiveness of shunting is unclear.",Correspondence
40960239,"Orforglipron, an Oral Small-Molecule GLP-1 Receptor Agonist for Obesity Treatment.","Wharton Sean, Aronne Louis J, Stefanski Adam, Alfaris Nasreen F, Ciudin Andreea",The New England journal of medicine,2025 11,10.1056/NEJMoa2511774,"Orforglipron, a small-molecule, nonpeptide oral glucagon-like peptide-1 (GLP-1) receptor agonist, is being investigated as a treatment for obesity.",Original Article
40934115,Oral Semaglutide at a Dose of 25 mg in Adults with Overweight or Obesity.,"Wharton Sean, Lingvay Ildiko, Bogdanski Pawel, Duque do Vale Ruben, Jacob Stephan",The New England journal of medicine,2025 09,10.1056/NEJMoa2500969,Oral semaglutide at a dose of 25 mg may provide an alternative treatment option to injectable semaglutide (2.4 mg) and higher-dose oral semaglutide (50 mg) for persons with overweight or obesity.,Correspondence
40929642,Once-Weekly Mazdutide in Obesity or Overweight. Reply.,"Ji Linong, Qian Lei",The New England journal of medicine,2025 09,10.1056/NEJMc2509841,,Correspondence
40929641,Once-Weekly Mazdutide in Obesity or Overweight.,"Zhang Yan, Yu Lei, Liu Zhen-Tong",The New England journal of medicine,2025 09,10.1056/NEJMc2509841,,Correspondence
40929640,Efruxifermin in Compensated Liver Cirrhosis Caused by MASH. Reply.,"Noureddin Mazen, Shringarpure Reshma, Yale Kitty",The New England journal of medicine,2025 09,10.1056/NEJMc2510444,,Correspondence
40929639,Efruxifermin in Compensated Liver Cirrhosis Caused by MASH.,Yu Linghua,The New England journal of medicine,2025 09,10.1056/NEJMc2510444,,Correspondence
40929634,Medications for Opioid Use Disorder in County Jails - Outcomes after Release.,"Friedmann Peter D, Wilson Donna, Stopka Thomas J, Bernson Dana, Pivovarova Ekaterina",The New England journal of medicine,2025 09,10.1056/NEJMsa2415987,"In 2019, seven county correctional facilities (jails) in Massachusetts initiated pilot programs to provide all Food and Drug Administration-approved medications for opioid use disorder (MOUD).",Correspondence
40929633,"Marburg Virus Disease in Rwanda, 2024 - Public Health and Clinical Responses.","Nsanzimana Sabin, Remera Eric, Nkeshimana Menelas, Westergaard Ryan P, Firew Tsion",The New England journal of medicine,2025 09,10.1056/NEJMoa2415816,"On September 27, 2024, Rwanda reported an outbreak of Marburg virus disease (MVD), after a cluster of cases of viral hemorrhagic fever was detected at two urban hospitals.",Correspondence
40923797,Overall Survival with Amivantamab-Lazertinib in EGFR-Mutated Advanced NSCLC.,"Yang James Chih-Hsin, Lu Shun, Hayashi Hidetoshi, Felip Enriqueta, Spira Alexander I",The New England journal of medicine,2025 10,10.1056/NEJMoa2503001,Previous results from this phase 3 trial showed that progression-free survival among participants with previously untreated EGFR (epidermal growth factor receptor)-mutated advanced non-small-cell lung cancer (NSCLC) was significantly improved with amivantamab-lazertinib as compared with osimertinib. Results of the protocol-specified final overall survival analysis in this trial have not been reported.,Original Article
40902187,Generative AI in Medicine. Reply.,Maddox Thomas M,The New England journal of medicine,2025 09,10.1056/NEJMc2510443,,Correspondence
40902186,Generative AI in Medicine.,Richie Cristina S,The New England journal of medicine,2025 09,10.1056/NEJMc2510443,,Correspondence
40902185,Generative AI in Medicine.,"Chen Shanquan, Yu Jiazhou",The New England journal of medicine,2025 09,10.1056/NEJMc2510443,,Correspondence
40902184,Generative AI in Medicine.,"Kameda Yusuke, Kaneko Yutaka, Takada Saki",The New England journal of medicine,2025 09,10.1056/NEJMc2510443,,Correspondence
40902183,Malnutrition in Older Adults. Reply.,"Cruz-Jentoft Alfonso J, Volkert Dorothee",The New England journal of medicine,2025 09,10.1056/NEJMc2509709,,Correspondence
40902182,Malnutrition in Older Adults.,"Zhang Bo, Zhang Haijun",The New England journal of medicine,2025 09,10.1056/NEJMc2509709,,Correspondence
40902181,Malnutrition in Older Adults.,"Du Heyue, Atkins Michael, Joyner Robert",The New England journal of medicine,2025 09,10.1056/NEJMc2509709,,Correspondence
40902180,Malnutrition in Older Adults.,"Minichmayr Iris K, Zeitlinger Markus",The New England journal of medicine,2025 09,10.1056/NEJMc2509709,,Correspondence
40902179,Porcine Xenotransplantation in End-Stage Kidney Disease. Reply.,"Kawai Tatsuo, Riella Leonard V",The New England journal of medicine,2025 09,10.1056/NEJMc2508235,,Correspondence
40902178,Porcine Xenotransplantation in End-Stage Kidney Disease.,"Melilli Edoardo, Garcia Romero Elena",The New England journal of medicine,2025 09,10.1056/NEJMc2508235,,Correspondence
40902177,Porcine Xenotransplantation in End-Stage Kidney Disease.,"Weinrauch Larry A, D'Elia John A",The New England journal of medicine,2025 09,10.1056/NEJMc2508235,,Correspondence
40902176,Porcine Xenotransplantation in End-Stage Kidney Disease.,"Jiang Qiqi, Ye Liefu, Wu Jinfeng",The New England journal of medicine,2025 09,10.1056/NEJMc2508235,,Correspondence
40902175,Safety and Efficacy of Obicetrapib in Patients at High Cardiovascular Risk. Reply.,"Nicholls Stephen J, Nelson Adam J, Ray Kausik K",The New England journal of medicine,2025 09,10.1056/NEJMc2510693,,Correspondence
40902174,Safety and Efficacy of Obicetrapib in Patients at High Cardiovascular Risk.,"Guo Mengmeng, Liu Zunjing",The New England journal of medicine,2025 09,10.1056/NEJMc2510693,,Correspondence
40902173,Safety and Efficacy of Obicetrapib in Patients at High Cardiovascular Risk.,"Zhang Dong, Wu Hui, Gong Shengyu",The New England journal of medicine,2025 09,10.1056/NEJMc2510693,,Correspondence
40902172,Safety and Efficacy of Obicetrapib in Patients at High Cardiovascular Risk.,Modarressi Taher,The New England journal of medicine,2025 09,10.1056/NEJMc2510693,,Correspondence
40902171,Fulminant Viral Myocarditis Associated with Thogotovirus.,"Osawa Shuichi, Miyazaki Kenji, Mine Sohtaro, Hirata Yuichiro, Terada Norihiko",The New England journal of medicine,2025 09,10.1056/NEJMc2503343,,Correspondence
40902162,Monoclonal Antibodies in the Pathogenesis of Heparin-Induced Thrombocytopenia.,"Treverton Jared, Arnold Donald M, Ivanov Daniil G, Ivetic Nikola, Zhang Yi",The New England journal of medicine,2025 09,10.1056/NEJMoa2507175,"Heparin-induced thrombocytopenia (HIT) is an immune-mediated platelet disorder caused by antibodies that target complexes of platelet factor 4 (PF4) and heparin. HIT has been characterized as a polyclonal immune response; however, studies of other rare anti-PF4 disorders have identified clonally restricted antibodies.",Correspondence
40902161,One Dose versus Three Doses of Benzathine Penicillin G in Early Syphilis.,"Hook Edward W, Dionne Jodie A, Workowski Kimberly, McNeil Candice J, Taylor Stephanie N",The New England journal of medicine,2025 09,10.1056/NEJMoa2401802,"Controversy persists regarding the appropriate duration of therapy with benzathine penicillin G in persons with early (i.e., primary, secondary, or early latent) syphilis (Treponema pallidum infection).",Correspondence
40888742,Home-Based Care for Hypertension in Rural South Africa.,"Siedner Mark J, Magula Nombulelo, Mazibuko Lusanda, Sithole Nsika, Castle Alison",The New England journal of medicine,2025 10,10.1056/NEJMoa2509958,"Poorly controlled hypertension is a common problem worldwide, particularly in low-resource settings.",Original Article
40888739,Targeting APOC3 with Olezarsen in Moderate Hypertriglyceridemia.,"Bergmark Brian A, Marston Nicholas A, Prohaska Thomas A, Alexander Veronica J, Zimerman Andre",The New England journal of medicine,2025 10,10.1056/NEJMoa2507227,"Highly effective therapies to reduce triglyceride levels are lacking. Olezarsen is an N-acetylgalactosamine-conjugated antisense oligonucleotide that targets the messenger RNA of apolipoprotein C-III, which inhibits triglyceride clearance.",Original Article
40888737,Ticagrelor and Aspirin or Aspirin Alone after Coronary Surgery for Acute Coronary Syndrome.,"Jeppsson Anders, James Stefan, Moller Christian H, Malm Carl Johan, Dal&#xe9;n Magnus",The New England journal of medicine,2025 12,10.1056/NEJMoa2508026,"Patients benefit from antiplatelet therapy after coronary-artery bypass grafting (CABG) for an acute coronary syndrome. Whether the addition of ticagrelor to aspirin, as compared with aspirin alone, further reduces the risk of adverse cardiovascular outcomes is unclear.",Original Article
40888734,Apixaban for Extended Treatment of Provoked Venous Thromboembolism.,"Piazza Gregory, Bikdeli Behnood, Pandey Arvind K, Krishnathasan Darsiya, Khairani Candrika D",The New England journal of medicine,2025 09,10.1056/NEJMoa2509426,"The appropriate duration of anticoagulation for venous thromboembolism (VTE) in patients who have a transient provoking factor (e.g., surgery, trauma, or immobility) and concomitant enduring risk factors is uncertain.",Original Article
40888730,Efficacy and Safety of Baxdrostat in Uncontrolled and Resistant Hypertension.,"Flack John M, Azizi Michel, Brown Jenifer M, Dwyer Jamie P, Fronczek Jakub",The New England journal of medicine,2025 10,10.1056/NEJMoa2507109,"Aldosterone dysregulation plays an important pathogenic role in hard-to-control hypertension. In several studies, baxdrostat, an aldosterone synthase inhibitor, reduced the seated systolic blood pressure of patients with uncontrolled or resistant hypertension.",Correspondence
40888726,Early Discontinuation of Aspirin after PCI in Low-Risk Acute Myocardial Infarction.,"Tarantini Giuseppe, Honton Benjamin, Paradies Valeria, Lemesle Gilles, Range Gregoire",The New England journal of medicine,2025 11,10.1056/NEJMoa2508808,An appropriate duration of dual antiplatelet therapy after percutaneous coronary intervention for acute myocardial infarction that has been treated with guideline-recommended complete revascularization and a contemporary drug-eluting stent remains unclear.,Original Article
40888725,Aspirin in Patients with Chronic Coronary Syndrome Receiving Oral Anticoagulation.,"Lemesle Gilles, Didier Romain, Steg Philippe Gabriel, Simon Tabassome, Montalescot Gilles",The New England journal of medicine,2025 10,10.1056/NEJMoa2507532,The appropriate antithrombotic regimen for patients with chronic coronary syndrome who are at high atherothrombotic risk and receiving long-term oral anticoagulation remains unknown.,Original Article
40888723,Early Withdrawal of Aspirin after PCI in Acute Coronary Syndromes.,"Guimar&#xe3;es Patricia O, Franken Marcelo, Tavares Caio A M, Antunes Murillo O, Silveira Fabio S",The New England journal of medicine,2025 11,10.1056/NEJMoa2507980,Whether potent P2Y12 inhibitor monotherapy without aspirin initiated shortly after successful percutaneous coronary intervention (PCI) is effective and safe for patients with acute coronary syndromes is unclear.,Original Article
40888722,Long-Term Outcomes of the DanGer Shock Trial.,"M&#xf8;ller Jacob E, Beske Rasmus P, Engstr&#xf8;m Thomas, Jensen Lisette O, Eiskj&#xe6;r Hans",The New England journal of medicine,2025 12,10.1056/NEJMc2508284,,Correspondence
40888720,High-Dose Influenza Vaccine Effectiveness against Hospitalization in Older Adults.,"Johansen Niklas Dyrby, Modin Daniel, Loiacono Matthew M, Harris Rebecca C, Dufournet Marine",The New England journal of medicine,2025 12,10.1056/NEJMoa2509907,"High-dose inactivated influenza vaccine has been shown to provide protection against influenza that is superior to that with the standard dose. However, data from individually randomized trials on the effectiveness of the high-dose vaccine against severe outcomes are limited.",Original Article
40888717,Mavacamten in Symptomatic Nonobstructive Hypertrophic Cardiomyopathy.,"Desai Milind Y, Owens Anjali T, Abraham Theodore, Olivotto Iacopo, Garcia-Pavia Pablo",The New England journal of medicine,2025 09,10.1056/NEJMoa2505927,"Mavacamten is approved to treat adults with symptomatic obstructive hypertrophic cardiomyopathy (HCM). However, its effects in nonobstructive HCM remain uncertain.",Original Article
40888716,Beta-Blockers after Myocardial Infarction in Patients without Heart Failure.,"Munkhaugen John, Kristensen Anna Meta D, Halvorsen Sigrun, Holmager Therese, Olsen Michael Hecht",The New England journal of medicine,2025 11,10.1056/NEJMoa2505985,The evidence supporting beta-blocker therapy after myocardial infarction was established before the introduction of modern coronary reperfusion therapy and secondary prevention strategies.,Original Article
40888702,Beta-Blockers after Myocardial Infarction without Reduced Ejection Fraction.,"Ibanez Borja, Latini Roberto, Rossello Xavier, Dominguez-Rodriguez Alberto, Fern&#xe1;ndez-Vazquez Felipe",The New England journal of medicine,2025 11,10.1056/NEJMoa2504735,"Current guideline recommendations for the use of beta-blockers after myocardial infarction without reduced ejection fraction are based on trials conducted before routine reperfusion, invasive care, complete revascularization, and contemporary pharmacologic therapies became standard practice.",Original Article
40888697,Aficamten or Metoprolol Monotherapy for Obstructive Hypertrophic Cardiomyopathy.,"Garcia-Pavia Pablo, Maron Martin S, Masri Ahmad, Merkely Bela, Nassif Michael E",The New England journal of medicine,2025 09,10.1056/NEJMoa2504654,"Beta-blockers have been the initial treatment for symptomatic obstructive hypertrophic cardiomyopathy (HCM) despite limited evidence of their efficacy. Aficamten is a cardiac myosin inhibitor that reduces left ventricular outflow tract gradients, improves exercise capacity, and decreases HCM symptoms when added to standard medications. Whether aficamten as monotherapy provides greater clinical benefit than beta-blockers as monotherapy remains unknown.",Original Article
40888695,RSV Prefusion F Vaccine for Prevention of Hospitalization in Older Adults.,"Lassen Mats C H&#xf8;jbjerg, Johansen Niklas Dyrby, Christensen Sine H, Aliabadi Negar, Skaarup Kristoffer G",The New England journal of medicine,2026 01,10.1056/NEJMoa2509810,"Respiratory syncytial virus (RSV) can cause serious illness in older adults. The bivalent RSV prefusion F protein-based vaccine (RSVpreF) has been shown to prevent RSV-associated respiratory illness, but data from randomized trials with regard to its effect on outcomes involving hospitalization are limited.",Original Article
40888694,High-Dose Influenza Vaccine to Reduce Hospitalizations.,"Pardo-Seco Jacobo, Rodr&#xed;guez-Tenreiro-S&#xe1;nchez Carmen, Gin&#xe9;-V&#xe1;zquez Iago, Mallah Narmeen, Mir&#xe1;s-Carballal Susana",The New England journal of medicine,2025 12,10.1056/NEJMoa2509834,"Superior protection against laboratory-confirmed influenza has been proved for high-dose inactivated influenza vaccine, as compared with the standard dose, among adults 65 years of age or older. However, data on the relative effectiveness of the high-dose vaccine against severe clinical outcomes, including hospitalizations, are limited.",Original Article
40879434,Digitoxin in Patients with Heart Failure and Reduced Ejection Fraction.,"Bavendiek Udo, Gro&#xdf;hennig Anika, Schwab Johannes, Berliner Dominik, Rieth Andreas",The New England journal of medicine,2025 09,10.1056/NEJMoa2415471,The therapeutic efficacy of the cardiac glycoside digitoxin in patients with heart failure and reduced ejection fraction is not established.,Original Article
40879431,Multidomain Rehabilitation for Older Patients with Myocardial Infarction.,"Tonet Elisabetta, Raisi Andrea, Zagnoni Silvia, Chiaranda Giorgio, Pasanisi Giovanni",The New England journal of medicine,2025 09,10.1056/NEJMoa2502799,The benefit of rehabilitation interventions in patients who are 65 years of age or older with myocardial infarction and impaired physical performance remains unclear.,Original Article
40879429,Increasing the Potassium Level in Patients at High Risk for Ventricular Arrhythmias.,"J&#xf8;ns Christian, Zheng Chaoqun, Winsl&#xf8;w Ulrik C G, Danielsen Elisabeth M, Sakthivel Tharsika",The New England journal of medicine,2025 11,10.1056/NEJMoa2509542,Hypokalemia and even low-normal plasma potassium levels increase the risk of ventricular arrhythmias among patients with cardiovascular disease. An assessment of a strategy of actively increasing plasma potassium levels to the high-normal range is needed.,Original Article
40879421,Reduction of Antihypertensive Treatment in Nursing Home Residents.,"Benetos Athanase, Gautier Sylvie, Freminet Anne, Metz Alice, Labat Carlos",The New England journal of medicine,2025 11,10.1056/NEJMoa2508157,"Among older adults with frailty, evidence on the benefits and risks of discontinuing antihypertensive drugs is limited.",Original Article
40834319,Screening for Prostate Cancer with a Polygenic Risk Score. Reply.,"Bancroft Elizabeth K, McHugh Jana K, Eeles Rosalind A",The New England journal of medicine,2025 09,10.1056/NEJMc2507786,,Correspondence
40834318,Screening for Prostate Cancer with a Polygenic Risk Score.,"Green Harry D, Jackson Leigh, Bailey Sarah E R",The New England journal of medicine,2025 09,10.1056/NEJMc2507786,,Correspondence
40834317,Screening for Prostate Cancer with a Polygenic Risk Score.,"Su Chen-Yang, Hasebe Masashi",The New England journal of medicine,2025 09,10.1056/NEJMc2507786,,Correspondence
40834316,Screening for Prostate Cancer with a Polygenic Risk Score.,"Eklund Martin, Thompson Ian M, Cooperberg Matthew R",The New England journal of medicine,2025 09,10.1056/NEJMc2507786,,Correspondence
40834315,AAV Gene Therapy in Severe Hemophilia B. Reply.,"Reiss Ulrike M, Davidoff Andrew M, Nathwani Amit C",The New England journal of medicine,2025 09,10.1056/NEJMc2509703,,Correspondence
40834314,AAV Gene Therapy in Severe Hemophilia B.,"Miesbach Wolfgang, Peyvandi Flora, Pierce Glenn F",The New England journal of medicine,2025 09,10.1056/NEJMc2509703,,Correspondence
40834313,Omitting Nodal Irradiation after Nodes Clear.,"Braunstein Lior Z, Morrow Monica",The New England journal of medicine,2025 09,10.1056/NEJMc2509175,,Correspondence
40834312,Semaglutide in Metabolic Dysfunction-Associated Steatohepatitis. Reply.,"Sanyal Arun J, Newsome Philip N",The New England journal of medicine,2025 09,10.1056/NEJMc2509454,,Correspondence
40834311,Semaglutide in Metabolic Dysfunction-Associated Steatohepatitis.,"Su Chen-Yang, Hasebe Masashi",The New England journal of medicine,2025 09,10.1056/NEJMc2509454,,Correspondence
40834310,Semaglutide in Metabolic Dysfunction-Associated Steatohepatitis.,"Rivera-Esteban Jesus, Valverde-Salazar V&#xed;ctor, Calleja Jos&#xe9; L",The New England journal of medicine,2025 09,10.1056/NEJMc2509454,,Correspondence
40834309,Semaglutide in Metabolic Dysfunction-Associated Steatohepatitis.,"Lavender James, Bollipo Steven, Talley Nicholas",The New England journal of medicine,2025 09,10.1056/NEJMc2509454,,Correspondence
40834308,Semaglutide in Metabolic Dysfunction-Associated Steatohepatitis.,"Luo Susu, Liu Hui, Jin Wenyi",The New England journal of medicine,2025 09,10.1056/NEJMc2509454,,Correspondence
40834307,Targeted Therapy of CAR+ T-Cell Lymphoma after Anti-BCMA CAR T-Cell Therapy.,"Aleman Adolfo, Van Oekelen Oliver, Melnekoff David T, Grossman Leah, Mouhieddine Tarek H",The New England journal of medicine,2025 09,10.1056/NEJMc2504588,,Correspondence
